ABBR,DATE_TIME,UTC_DATE_TIME,O3_PPB,SO2_2_PPB,NO_3_PPB,NOY_PPB,NO2_3_PPB,CO_2_PPB,VWS_M_S,VWD_DEG,TMP_DEGC,SOL_W_M2,
MACA-HM,2/1/2020 12:00:00 AM,2/1/2020 6:00:00 AM,12.2,0.1,-0.003,4.1,4.1,211.893,1.3,346,5.2,0,
MACA-HM,2/1/2020 12:01:00 AM,2/1/2020 6:01:00 AM,12.2,0.2,-0.004,3.9,3.9,205.823,1.6,342,5.2,0,
MACA-HM,2/1/2020 12:02:00 AM,2/1/2020 6:02:00 AM,12.1,0.1,-0.01,3.9,3.9,210.638,1.5,340,5.2,0,
MACA-HM,2/1/2020 12:03:00 AM,2/1/2020 6:03:00 AM,12.1,0.1,0.062,4,4,212.087,1.3,338,5.2,0,
MACA-HM,2/1/2020 12:04:00 AM,2/1/2020 6:04:00 AM,12,0.2,0.046,4.2,4.1,211.085,1.4,327,5.2,0,
MACA-HM,2/1/2020 12:05:00 AM,2/1/2020 6:05:00 AM,11.9,0,-0.038,4,4,209.426,1.2,333,5.2,0,
MACA-HM,2/1/2020 12:06:00 AM,2/1/2020 6:06:00 AM,11.8,0.2,-0.001,3.8,3.8,212.338,1.2,338,5.2,0,
MACA-HM,2/1/2020 12:07:00 AM,2/1/2020 6:07:00 AM,11.9,0.1,-0.086,3.8,3.8,209.356,1.4,341,5.2,0,
MACA-HM,2/1/2020 12:08:00 AM,2/1/2020 6:08:00 AM,12.1,0.1,0.048,4,3.9,206.84,1.1,345,5.2,0,
MACA-HM,2/1/2020 12:09:00 AM,2/1/2020 6:09:00 AM,11.8,0.1,0.005,4,4,212.201,1.2,339,5.2,0,
MACA-HM,2/1/2020 12:10:00 AM,2/1/2020 6:10:00 AM,11.5,0.3,0.013,3.8,3.8,212.561,1.2,3,5.2,0,
MACA-HM,2/1/2020 12:11:00 AM,2/1/2020 6:11:00 AM,11.8,0.2,0.063,3.8,3.7,209.446,0.9,353,5.2,0,
MACA-HM,2/1/2020 12:12:00 AM,2/1/2020 6:12:00 AM,11.6,0.1,0.003,3.9,3.9,211.974,1.3,10,5.2,0,
MACA-HM,2/1/2020 12:13:00 AM,2/1/2020 6:13:00 AM,11.7,0.1,-0.009,3.8,3.9,210.228,0.9,15,5.2,0,
MACA-HM,2/1/2020 12:14:00 AM,2/1/2020 6:14:00 AM,13,0.1,0.023,3.9,3.8,216.516,1.3,350,5.2,0,
MACA-HM,2/1/2020 12:15:00 AM,2/1/2020 6:15:00 AM,12.3,0,-0.056,3.7,3.7,208.926,0.7,28,5.2,0,
MACA-HM,2/1/2020 12:16:00 AM,2/1/2020 6:16:00 AM,12.1,0.1,-0.022,3.8,3.8,215.336,0.7,79,5.2,0,
MACA-HM,2/1/2020 12:17:00 AM,2/1/2020 6:17:00 AM,11.8,0,-0.027,3.8,3.8,213.315,0.5,54,5.2,0,
MACA-HM,2/1/2020 12:18:00 AM,2/1/2020 6:18:00 AM,11.8,0.1,-0.034,3.8,3.8,207.839,0.5,26,5.2,0,
MACA-HM,2/1/2020 12:19:00 AM,2/1/2020 6:19:00 AM,12.6,0,-0.007,3.8,3.8,211.442,0.6,38,5.2,0,
MACA-HM,2/1/2020 12:20:00 AM,2/1/2020 6:20:00 AM,11.7,0.1,0.001,3.7,3.7,215.211,0.6,73,5.2,0,
MACA-HM,2/1/2020 12:21:00 AM,2/1/2020 6:21:00 AM,11.4,0.3,-0.012,3.8,3.8,215.678,0.4,78,5.2,0,
MACA-HM,2/1/2020 12:22:00 AM,2/1/2020 6:22:00 AM,11.7,0.1,0.043,3.9,3.9,208.099,0.5,105,5.2,0,
MACA-HM,2/1/2020 12:23:00 AM,2/1/2020 6:23:00 AM,12.1,0.2,0.019,3.9,3.9,213.212,0.6,94,5.2,0,
MACA-HM,2/1/2020 12:24:00 AM,2/1/2020 6:24:00 AM,12.2,0.2,-0.017,3.6,3.6,214.762,0.8,67,5.1,0,
MACA-HM,2/1/2020 12:25:00 AM,2/1/2020 6:25:00 AM,12,0.1,0.036,3.6,3.6,212.87,0.6,67,5.1,0,
MACA-HM,2/1/2020 12:26:00 AM,2/1/2020 6:26:00 AM,11.7,0.1,-0.001,3.8,3.8,212.269,0.8,75,5.1,0,
MACA-HM,2/1/2020 12:27:00 AM,2/1/2020 6:27:00 AM,11.1,0.1,0,4,4,213.749,0.7,73,5.2,0,
MACA-HM,2/1/2020 12:28:00 AM,2/1/2020 6:28:00 AM,12.1,0.1,0.035,3.7,3.7,214.536,0.6,68,5.2,0,
MACA-HM,2/1/2020 12:29:00 AM,2/1/2020 6:29:00 AM,12.3,0,-0.052,3.7,3.8,216.373,0.7,46,5.1,0,
MACA-HM,2/1/2020 12:30:00 AM,2/1/2020 6:30:00 AM,12,0,0.017,3.8,3.7,214.831,0.6,21,5.1,0,
MACA-HM,2/1/2020 12:31:00 AM,2/1/2020 6:31:00 AM,12.1,0.1,0.051,3.9,3.9,213.793,0.5,32,5.1,0,
MACA-HM,2/1/2020 12:32:00 AM,2/1/2020 6:32:00 AM,11.5,0,0,3.6,3.6,212.305,0.4,0,5.1,0,
MACA-HM,2/1/2020 12:33:00 AM,2/1/2020 6:33:00 AM,12.3,0.1,0.012,3.5,3.5,213.524,0.4,293,5,0,
MACA-HM,2/1/2020 12:34:00 AM,2/1/2020 6:34:00 AM,12.5,0.1,-0.021,3.8,3.8,218.995,0.4,332,5,0,
MACA-HM,2/1/2020 12:35:00 AM,2/1/2020 6:35:00 AM,12.6,0.1,-0.027,3.8,3.9,219.586,0.1,95,5,0,
MACA-HM,2/1/2020 12:36:00 AM,2/1/2020 6:36:00 AM,12.5,0,-0.068,3.8,3.9,210.401,0.1,214,5,0,
MACA-HM,2/1/2020 12:37:00 AM,2/1/2020 6:37:00 AM,12.4,0.1,-0.014,3.7,3.7,210.253,0.8,30,5,0,
MACA-HM,2/1/2020 12:38:00 AM,2/1/2020 6:38:00 AM,12.8,0.1,0.069,3.8,3.7,212.79,0.6,38,5,0,
MACA-HM,2/1/2020 12:39:00 AM,2/1/2020 6:39:00 AM,12.3,0,0.012,3.6,3.6,212.241,0.3,41,5,0,
MACA-HM,2/1/2020 12:40:00 AM,2/1/2020 6:40:00 AM,12.1,0,-0.001,3.8,3.9,210.461,0.5,21,5.1,0,
MACA-HM,2/1/2020 12:41:00 AM,2/1/2020 6:41:00 AM,12.1,0.1,0.05,3.7,3.6,215.232,0.4,358,5.1,0,
MACA-HM,2/1/2020 12:42:00 AM,2/1/2020 6:42:00 AM,11.5,0.2,0.034,3.7,3.7,212.656,0.7,1,5.1,0,
MACA-HM,2/1/2020 12:43:00 AM,2/1/2020 6:43:00 AM,11.5,0.2,-0.013,3.7,3.7,212.758,0.9,344,5.1,0,
MACA-HM,2/1/2020 12:44:00 AM,2/1/2020 6:44:00 AM,12.3,0.2,0.002,3.7,3.7,213.626,0.8,2,5,0,
MACA-HM,2/1/2020 12:45:00 AM,2/1/2020 6:45:00 AM,12.7,-999,-999,-999,-999,-999,0.7,2,5,0,
MACA-HM,2/1/2020 12:46:00 AM,2/1/2020 6:46:00 AM,12.7,-999,-999,-999,-999,-999,0.7,3,5,0,
MACA-HM,2/1/2020 12:47:00 AM,2/1/2020 6:47:00 AM,12.3,-999,-999,-999,-999,-999,0.6,11,5,0,
MACA-HM,2/1/2020 12:48:00 AM,2/1/2020 6:48:00 AM,12.4,-999,-999,-999,-999,-999,0.5,16,5,0,
