ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
ACAD-MH,23-009-0103,EST,68.2608,44.3769,158,Acadia National Park - McFarland Hill (No data found for the selected period/parameters)
BIBE-KB,48-043-0101,CST,103.1772,29.3022,1052,Big Bend National Park - K-Bar Ranch Road (No data found for the selected period/parameters)
CANY-IS,49-037-0101,MST,109.8211,38.4586,1809,Canyonlands National Park - Island in the Sky (No data found for the selected period/parameters)
CAVE-BB,35-015-0010,MST,,,,Carlsbad Caverns National Park - Biology Building (No data found for the selected period/parameters)
CHCU-RR,35-045-0020,MST,,,1965,Chaco Culture National Historical Park - Radio Repeater (No data found for the selected period/parameters)
CHIR-ES,04-003-8001,MST,109.3892,32.0092,1570,Chiricahua National Monument - Entrance Station (No data found for the selected period/parameters)
CRMO-VC,16-023-0101,MST,113.5622,43.4606,1815,Craters of the Moon National Monument - Visitor Center (No data found for the selected period/parameters)
DENA-HQ,02-068-0003,AKST,148.9633,63.7258,661,Denali National Park - Headquarters (No data found for the selected period/parameters)
DEVA-PV,06-027-0101,PST,116.8481,36.5092,125,Death Valley National Park - Park Village (No data found for the selected period/parameters)
DINO-WE,49-047-1002,MST,108.9417,40.2917,1463,Dinosaur National Monument - West Entrance Housing (No data found for the selected period/parameters)
EVER-BC,12-086-0030,EST,80.6806,25.3911,2,Everglades National Park - Beard Center (No data found for the selected period/parameters)
GLAC-WG,30-029-8001,MST,113.9956,48.5103,976,Glacier National Park - West Glacier Horse Stables (No data found for the selected period/parameters)
GRBA-MY,32-033-0101,PST,114.2158,39.0053,2060,Great Basin National Park - Maintenance Yard (No data found for the selected period/parameters)
GRCA-AS,04-005-8001,MST,112.1822,36.0597,2070,Grand Canyon National Park - The Abyss (No data found for the selected period/parameters)
GRCA-PO,--,MST,,,,Grand Canyon - Portable -  (No data found for the selected period/parameters)
GRSM-CC,47-009-0102,EST,83.7831,35.6042,564,Great Smoky Mountains National Park - Cades Cove (No data found for the selected period/parameters)
